feed,title,long_url,short_url
gNews,"WISeKey Announces 9-Month 2021 Preliminary Results; Reports Revenue of $15.4 Million, a 34% Increase from 9-Month 2020 Period - Yahoo Finance",https://www.yahoo.com/entertainment/wisekey-announces-9-month-2021-160000892.html,https://yhoo.it/3BHQ9Wd
gNews,"Pluralsight Skills Expands Hands-On Learning Capabilities for Cybersecurity, IT Ops, and Software Development; Launches New Tech Certification Experience - Marketscreener",https://www.marketscreener.com/news/latest/Pluralsight-Skills-Expands-Hands-On-Learning-Capabilities-for-Cybersecurity-IT-Ops-and-Software-De--36662599/,https://j.mp/2YOzscY
