feed,title,long_url,short_url
LinuxSecurity,openSUSE: 2022:0177-1: qemu,https://www.linuxsecurity.com/advisories/opensuse/opensuse-2022-0177-1-qemu-13-37-31?rss,https://bit.ly/35dCDOI
LinuxSecurity,openSUSE: 2022:0178-1 important: expat,https://www.linuxsecurity.com/advisories/opensuse/opensuse-2022-0178-1-important-expat-13-32-31?rss,https://bit.ly/33KRsbp
LinuxSecurity,openSUSE: 2022:0171-1 moderate: rust1.55,https://www.linuxsecurity.com/advisories/opensuse/opensuse-2022-0171-1-moderate-rust1-55-13-27-05?rss,https://bit.ly/3KGbfJB
