feed,title,long_url,short_url
SecurityWeek,US Gov Seeks Public Feedback on Draft Federal Zero Trust Strategy,https://www.securityweek.com/us-gov-seeks-public-feedback-draft-federal-zero-trust-strategy,https://j.mp/2X78jl6
SecurityWeek,Canadian-US National Sentenced to Prison for Cybercrime Schemes,https://www.securityweek.com/canadian-us-national-sentenced-prison-cybercrime-schemes,https://j.mp/3l87aSz
SecurityWeek,Microsoft Warns of Information Leak Flaw in Azure Container Instances,https://www.securityweek.com/microsoft-warns-information-leak-flaw-azure-container-instances,https://j.mp/3BXVhoO
