feed,title,long_url,short_url
gNews,Cyvatar Presents “Love vs Fear: Why We Need a Security Revolution” at SXSW; Hosts “Cybrverse Experience” NFT Artscape Gallery and Immersive Event for Charity - AiThority,https://aithority.com/security/cyvatar-presents-love-vs-fear-why-we-need-a-security-revolution-at-sxsw-hosts-cybrverse-experience-nft-artscape-gallery-and-immersive-event-for-charity/,https://bit.ly/3gWYMn9
gNews,CIA Deputy Director of Digital Innovation Jennifer Ewbank Named to 2022 Wash100 for Leading US National Security Efforts; Driving CIA IT Modernization Initiatives - Executive Mosaic Media,https://blog.executivebiz.com/2022/02/cia-deputy-director-of-digital-innovation-jennifer-ewbank-named-to-2022-wash100/,https://bit.ly/3BtUg9a
