feed,title,long_url,short_url
NVD-NIST,CVE-2021-2326 (database_vault),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-2326,https://j.mp/2W8HbBy
NVD-NIST,CVE-2021-2328 (text),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-2328,https://j.mp/36Ppnxx
NVD-NIST,CVE-2021-2329 (xml_database),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-2329,https://j.mp/3roNexk
NVD-NIST,CVE-2021-2330 (core_rdbms),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-2330,https://j.mp/3wZuoho
NVD-NIST,CVE-2021-2333 (xml_database),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-2333,https://j.mp/3zAZZbd
