feed,title,long_url,short_url
LinuxSecurity,SUSE: 2022:3356-1 important: dpdk,https://www.linuxsecurity.com/advisories/suse/suse-2022-3356-1-important-dpdk-17-20-31?rss,https://bit.ly/3dDRqH7
LinuxSecurity,SUSE: 2022:3355-1 important: puppet,https://www.linuxsecurity.com/advisories/suse/suse-2022-3355-1-important-puppet-17-19-52?rss,https://bit.ly/3r9ocCV
LinuxSecurity,SUSE: 2022:3353-1 moderate: permissions,https://www.linuxsecurity.com/advisories/suse/suse-2022-3353-1-moderate-permissions-17-19-15?rss,https://bit.ly/3Sy0uw9
