feed,title,long_url,short_url
LinuxSecurity,Ubuntu LTS: Asterisk Severe Internal Security Flaw 2025-1132,https://linuxsecurity.com/advisories/deblts/debian-lts-dla-4326-1-asterisk-security-update-vmqncvmctckm,https://da.gd/BC50fO
LinuxSecurity,SUSE: go1.25-openssl Moderate Cross-Origin Bypass CVE-2025-47910,https://linuxsecurity.com/advisories/suse/suse-2025-03524-1-for-go1-25-openssl-zjh1stleuj0a,https://da.gd/kcnfK
LinuxSecurity,SUSE: go1.25-openssl Moderate Cross-Origin Bypass Flaw 2025:03525-1,https://linuxsecurity.com/advisories/suse/suse-2025-03525-1-for-go1-25-openssl-zgwuodkqbttf,https://da.gd/hP8YZ
LinuxSecurity,openSUSE: go1.25-openssl Moderate Insecure Bypass CVE-2025-47910 Advisory,https://linuxsecurity.com/advisories/opensuse/opensuse-2025-03525-1-go1-25-openssl,https://da.gd/wSn5X
