feed,title,long_url,short_url
LinuxSecurity,Ubuntu 5693-1: Linux kernel (OEM) vulnerabilities,https://www.linuxsecurity.com/advisories/ubuntu/ubuntu-5693-1-linux-kernel-oem-vulnerabilities-18-25-40?rss,https://bit.ly/3Sir6k5
LinuxSecurity,Ubuntu 5691-1: Linux kernel vulnerabilities,https://www.linuxsecurity.com/advisories/ubuntu/ubuntu-5691-1-linux-kernel-vulnerabilities-18-25-36?rss,https://bit.ly/3SgKNZm
LinuxSecurity,Ubuntu 5692-1: Linux kernel vulnerabilities,https://www.linuxsecurity.com/advisories/ubuntu/ubuntu-5692-1-linux-kernel-vulnerabilities-18-25-34?rss,https://bit.ly/3sab5SH
