feed,title,long_url,short_url
GithubAdvisories,[GHSA-8g4q-xg66-9fp4] Microsoft Security Advisory CVE-2024-43485 | .NET Denial of Service Vulnerability,https://github.com/advisories/GHSA-8g4q-xg66-9fp4,https://da.gd/xTkQc
GithubAdvisories,[GHSA-f32c-w444-8ppv] Microsoft Security Advisory CVE-2024-43484 | .NET Denial of Service Vulnerability,https://github.com/advisories/GHSA-f32c-w444-8ppv,https://da.gd/HXLv5
GithubAdvisories,[GHSA-qj66-m88j-hmgj] Microsoft Security Advisory CVE-2024-43483 | .NET Denial of Service Vulnerability,https://github.com/advisories/GHSA-qj66-m88j-hmgj,https://da.gd/nHfKbc
