feed,title,long_url,short_url
GithubAdvisories,[GHSA-q7m9-qpv4-57jh] Malware in xboxlive-auth,https://github.com/advisories/GHSA-q7m9-qpv4-57jh,https://da.gd/HJC1cX
GithubAdvisories,[GHSA-cvwj-6h92-w2cp] Malware in bignumex,https://github.com/advisories/GHSA-cvwj-6h92-w2cp,https://da.gd/eOdZj0
GithubAdvisories,[GHSA-x2rc-mfgw-jfp8] Malware in polygon-src,https://github.com/advisories/GHSA-x2rc-mfgw-jfp8,https://da.gd/4hUXq
GithubAdvisories,[GHSA-gxh6-cc7g-p7g8] Malware in wfui-dbd-react-ui,https://github.com/advisories/GHSA-gxh6-cc7g-p7g8,https://da.gd/LuFvG
GithubAdvisories,[GHSA-j5pp-2wcm-mf3m] Malware in wfui-dsm-react-ui,https://github.com/advisories/GHSA-j5pp-2wcm-mf3m,https://da.gd/JDi7GT
GithubAdvisories,[GHSA-69hf-2v5h-fqx5] Malware in wfui-test-e2e,https://github.com/advisories/GHSA-69hf-2v5h-fqx5,https://da.gd/mXlE5
GithubAdvisories,[GHSA-pp9p-p4m6-rh8x] Malware in @wb-drive/icons,https://github.com/advisories/GHSA-pp9p-p4m6-rh8x,https://da.gd/pBAyOX
GithubAdvisories,[GHSA-2vh3-gf8f-8524] Malware in @revvity-signals/chemdraw-js,https://github.com/advisories/GHSA-2vh3-gf8f-8524,https://da.gd/qhODfv
GithubAdvisories,[GHSA-ww9c-3crf-rqcp] Malware in sd-skbms,https://github.com/advisories/GHSA-ww9c-3crf-rqcp,https://da.gd/kLF0W
GithubAdvisories,[GHSA-g69f-6vrm-x88p] Malware in sd-security,https://github.com/advisories/GHSA-g69f-6vrm-x88p,https://da.gd/ms5L1T
