feed,title,long_url,short_url
GithubAdvisories,[GHSA-56m9-7m4c-6jgv] Malware in ajex,https://github.com/advisories/GHSA-56m9-7m4c-6jgv,https://da.gd/Cku0P
GithubAdvisories,[GHSA-5p83-32c9-7gc4] Malware in komcaxx,https://github.com/advisories/GHSA-5p83-32c9-7gc4,https://da.gd/U10X
GithubAdvisories,[GHSA-x5pw-5wr2-8v8j] Malware in komcax,https://github.com/advisories/GHSA-x5pw-5wr2-8v8j,https://da.gd/9g31J
GithubAdvisories,[GHSA-79xg-5rr2-rvvv] Malware in komcay,https://github.com/advisories/GHSA-79xg-5rr2-rvvv,https://da.gd/JnuB
