feed,title,long_url,short_url
GithubCommitStaging,[Web] optimizing update_sogo_static_view function,https://github.com/mailcow/mailcow-dockerized/commit/d9d958356a456018d028c94efdbb0871078ed131,https://da.gd/Ig7zL
GithubCommitStaging,[Web] optimizing update_sogo_static_view function,https://github.com/mailcow/mailcow-dockerized/commit/4121509ceb34161ba0c38db899d6c9a287eede94,https://da.gd/JIr8m
GithubCommitStaging,Merge pull request #5183 from mailcow/fix/add-mbox-performance,https://github.com/mailcow/mailcow-dockerized/commit/026b27835768bc6e0dcdd79838e70d3d77d2f6ba,https://da.gd/03bmk
