feed,title,long_url,short_url
HexDSL-Blog,An RSS feed!,https://hexdsl.notion.site/An-RSS-feed-8fa3236b09fd43b5bd5b93ec8b57123d,https://bit.ly/3MbShvE
HexDSL-Blog,"Time wasting is never okay, playing games is",https://hexdsl.notion.site/Time-wasting-is-never-okay-playing-games-is-f7b739f70ca44e49a0fa826f6fbc4925,https://bit.ly/3MadXYR
HexDSL-Blog,TrendyTalk - The Website!,https://hexdsl.notion.site/TrendyTalk-The-Website-1f6e490904f34ecca2cd301e1e9d8c29,https://bit.ly/3RCL20E
HexDSL-Blog,The Kaiju Preservation Society (by John Scalzi),https://hexdsl.notion.site/The-Kaiju-Preservation-Society-by-John-Scalzi-46209ff9fb5e44cd9693388aec36bf32,https://bit.ly/3M9S23T
HexDSL-Blog,What’s with Amazon book reviews?,https://hexdsl.notion.site/What-s-with-Amazon-book-reviews-c4a4f1a0789a493da66c5ab4e21d7fa3,https://bit.ly/3Mc3ZpR
HexDSL-Blog,Aeon Timeline – How useful did it turn out to be?,https://hexdsl.notion.site/Aeon-Timeline-How-useful-did-it-turn-out-to-be-7012568e3c6147e1acc8c38016a6672f,https://bit.ly/3M7u8WN
HexDSL-Blog,TrendyTalk’s Wing has a new website,https://hexdsl.notion.site/TrendyTalk-s-Wing-has-a-new-website-71ebadb30b5a465a84d57e7109520382,https://bit.ly/3e2sUzO
HexDSL-Blog,Halo Reach and one session gaming,https://hexdsl.notion.site/Halo-Reach-and-one-session-gaming-5a87261274ea402188b434de1fc67e63,https://bit.ly/3e2sWrq
HexDSL-Blog,Universal paperclips. A Clicker.,https://hexdsl.notion.site/Universal-paperclips-A-Clicker-44af5d43aab445c89b57377dc1c431b4,https://bit.ly/3e2sUji
HexDSL-Blog,Tales of Berseria,https://hexdsl.notion.site/Tales-of-Berseria-daa2406ae9e341a3a1de7db4f090b1ca,https://bit.ly/3SNXb3Y
HexDSL-Blog,The opening line: Foundation,https://hexdsl.notion.site/The-opening-line-Foundation-4c7468f8b36e4c6f96309b9a500f4726,https://bit.ly/3fJ0zyX
HexDSL-Blog,The opening line: Stranger in a Strange Land,https://hexdsl.notion.site/The-opening-line-Stranger-in-a-Strange-Land-502b002b0abf42e1a4f92edeed6d7021,https://bit.ly/3e2sVUo
HexDSL-Blog,Just one damned Thing After Another (by Jodi Taylor),https://hexdsl.notion.site/Just-one-damned-Thing-After-Another-by-Jodi-Taylor-6f4d6cb1dd2a49e69cdc8bf400001ff1,https://bit.ly/3SWn4hX
HexDSL-Blog,Science Fiction and over tailored characters. (A pointless musing),https://hexdsl.notion.site/Science-Fiction-and-over-tailored-characters-A-pointless-musing-a6e0ddbd294646d8a1fa1b7a3a819a13,https://bit.ly/3T0KDqa
HexDSL-Blog,The Opening line: Neuromancer,https://hexdsl.notion.site/The-Opening-line-Neuromancer-93282cc4080d415499c8d0c3373d2283,https://bit.ly/3RBlnWk
HexDSL-Blog,Iliad (By Homer),https://hexdsl.notion.site/Iliad-By-Homer-c65a62d958ca4580a09bbee424f0e864,https://bit.ly/3RElaSe
HexDSL-Blog,Book Club: Fangs (by Sarah Andersen),https://hexdsl.notion.site/Book-Club-Fangs-by-Sarah-Andersen-8743062464dc42b2a66c21267e0a1159,https://bit.ly/3SZiIqk
HexDSL-Blog,Dune (By Frank Herbert),https://hexdsl.notion.site/Dune-By-Frank-Herbert-69481ed36eb1458495c8ad735f52faaf,https://bit.ly/3M86GJ6
HexDSL-Blog,Storm Front (By Jim Butcher),https://hexdsl.notion.site/Storm-Front-By-Jim-Butcher-7c47268dd2b54de380d4cf4d89ff907f,https://bit.ly/3C8W5sM
HexDSL-Blog,Pattern Recognition (by William Gibson),https://hexdsl.notion.site/Pattern-Recognition-by-William-Gibson-980d3c2ad8004109995e22387968adf6,https://bit.ly/3fO4lqQ
HexDSL-Blog,The Trapped Mind Project (By Michael Chatfield),https://hexdsl.notion.site/The-Trapped-Mind-Project-By-Michael-Chatfield-fb457a8697f849039f68896fb2aae28f,https://bit.ly/3RCQBfE
HexDSL-Blog,Timeboud (by Rysa Walker),https://hexdsl.notion.site/Timeboud-by-Rysa-Walker-ec704c01d0494d2c835022cd2239c43d,https://bit.ly/3T2aw8Z
HexDSL-Blog,The City and the Stars (by Arthur C Clarke),https://hexdsl.notion.site/The-City-and-the-Stars-by-Arthur-C-Clarke-1625bb7bb02c41cfb9015553799f6dfa,https://bit.ly/3M57UF3
