feed,title,long_url,short_url
PacketstormSecurity,This Is The 'Hacking' Investigation Into Journalist Who Clicked 'View Source' On Government Website,https://packetstormsecurity.com/news/view/33139/This-Is-The-Hacking-Investigation-Into-Journalist-Who-Clicked-View-Source-On-Government-Website.html,https://bit.ly/33MpagC
PacketstormSecurity,Malware Authors Target Rivals With Malicious npm Packages,https://packetstormsecurity.com/news/view/33138/Malware-Authors-Target-Rivals-With-Malicious-npm-Packages.html,https://bit.ly/3Ii5lws
PacketstormSecurity,Samsung Shipped 100 Million Phones With Flawed Encryption,https://packetstormsecurity.com/news/view/33137/Samsung-Shipped-100-Million-Phones-With-Flawed-Encryption.html,https://bit.ly/3hb7oGM
PacketstormSecurity,EU Rules Take Aim At Illegal Data Transfer To Non-EU Governments,https://packetstormsecurity.com/news/view/33140/EU-Rules-Take-Aim-At-Illegal-Data-Transfer-To-Non-EU-Governments.html,https://bit.ly/33OEidq
PacketstormSecurity,UK Firms Most Likely To Pay Ransomware Hackers,https://packetstormsecurity.com/news/view/33141/UK-Firms-Most-Likely-To-Pay-Ransomware-Hackers.html,https://bit.ly/352K0J1
